"","childHeight","gender","father","mother","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20"
"1",73.2,"male",78.5,67,1.65681514126384,1.49959514658519,-0.8052083940047,0.312488120191762,-1.04515926217459,-0.632239604677961,0.453300314769421,0.978269542846926,1.85612579183109,0.541126120980584,0.503400106690487,0.911863072461862,-0.753973600570819,0.185074096383261,-0.495055045390575,-1.26175033354881,-0.306255251634798,-0.150871826219702,-0.185512485668618,1.14589633081107
"2",69.2,"female",78.5,67,-0.789779235503485,-1.84285696316374,0.353933425468823,-0.461254506894972,-0.0254935291189314,0.264878802262494,1.84970505531801,-0.63936527716546,-0.11732708299958,-0.0440982474766177,0.34058267683202,1.38308579518102,1.55107043625793,-0.838322670456446,-0.3607778883981,0.0116247728959227,-0.409628760198494,-0.109737554740844,0.229022372516703,-0.561063181580001
"3",69,"female",78.5,67,-0.442051040434397,-1.29535978800593,0.489994246252317,0.0664393499493182,-1.5095768855305,0.114200654427125,0.380336072676369,-0.247597030736381,1.15391396283869,0.866859090298489,-0.675130013501984,-1.10999101625049,-0.498626233561826,-0.906673585480971,0.606607796486385,-0.325959882748434,0.533861569702761,1.89910523363581,-0.13791782353312,-0.307390747195181
"4",69,"female",78.5,67,-1.27263665140996,0.311649572185154,-0.0688888473445158,-0.509344967772016,-1.50615083609324,0.178072385725439,-0.554232046162157,0.735782945521306,-0.503422021286561,-0.486842940177155,-0.461609265730117,-2.38585377978495,-1.91298890341663,0.635812582151351,1.58404201270662,-0.702563647585874,0.522523322433246,-0.300433124878666,-0.0636747194583366,-1.04609893018049
"5",73.5,"male",75.5,66.5,0.813529809472345,0.739887867908985,-1.78251719009195,-0.900799997594371,0.685998515752269,-0.201679321535446,0.168691525455603,-0.000253140303852592,1.14446080827677,0.0747136280376168,0.138371269717351,-1.42244414786887,0.310006343757344,-1.560088854402,0.529950675543123,0.0281294012089269,-0.264404771483565,0.672526566025024,0.902151639343192,-0.292820451773119
"6",72.5,"male",75.5,66.5,0.275139995158625,0.672386889208913,0.424421054827545,-0.213343928265388,0.122627549360379,-1.45462737524867,0.402635022557865,-0.501786247213238,-0.566697841736478,-0.581744123494543,-0.539753485840977,-1.24024452937406,-0.793611833806191,0.846528438440556,-0.825235162563141,0.180111635862723,-0.133804372244944,0.846076235779757,-0.99212520092668,-0.595796852622543
"7",65.5,"female",75.5,66.5,0.475448973040559,-0.0700098306553964,1.71130845247055,0.605266651689769,-0.215279307549587,-0.854545119616816,0.490118844615282,-0.770442052377236,0.97296438021396,0.78828445003092,0.80391887992441,-0.903474602015729,0.524882753058687,-0.163074923295033,1.72307299593542,-0.857701705436099,-0.397075309417297,-1.35923215907453,-0.21980126623948,0.579954681381613
"8",65.5,"female",75.5,66.5,-0.402481164933515,-0.518012665242703,0.49424490739493,0.429550448133263,0.162454730762251,-0.329496644284087,0.258371893235132,2.03431375192241,1.06976451298309,-0.476561414113183,0.623744523888731,-1.29250890436429,0.542959412934764,-0.653899292500472,-0.0834011605604674,-0.687842172415332,-1.70803964061039,-0.540756213093485,-0.627514615707416,1.4941489383632
"9",71,"male",75,64,0.770439838051421,0.531875109032064,-0.578872467283633,-0.966266018487018,-1.04428118382598,0.212560933437589,-1.41750506492602,0.260331877439238,0.219351651440816,1.16139988026019,-0.212696821341166,-0.06017357807706,0.675418336721668,1.82100112864308,0.55621307171546,-0.957348513373278,1.15713191496018,0.105784828802754,0.808413232524882,-0.224417247549017
"10",68,"female",75,64,-1.00808684584169,1.08066169423263,1.83968964355335,-0.0206661994120485,-0.6370922417172,-0.366244723448729,-1.43909667969922,-0.515314672282973,1.14597670409259,-1.37474094962116,0.806428271538288,0.537995924736426,-1.01747978419006,-2.49651566036465,-1.96645000321885,0.382870412948525,-0.957668578673097,-0.176802654010363,1.5886737162904,1.22045480134592
